Price;Close;High;Low;Open;Volume;Daily_Variance_%
Ticker;^GSPC;^GSPC;^GSPC;^GSPC;^GSPC;
Date;;;;;;
2024-11-11;6001.35009765625;6017.31005859375;5986.68994140625;6008.85986328125;4333000000;0.5114699021861729
2024-11-12;5983.990234375;6009.919921875;5960.080078125;6003.60009765625;4243400000;0.8362277535988958
2024-11-13;5985.3798828125;6008.18994140625;5965.91015625;5985.75;4220180000;0.7086896055911418
2024-11-14;5949.169921875;5993.8798828125;5942.27978515625;5989.68017578125;4184570000;0.8683552360685958
2024-11-15;5870.6201171875;5915.31982421875;5853.009765625;5912.7900390625;4590960000;1.0645814903590267
2024-11-18;5893.6201171875;5908.1201171875;5865.9501953125;5874.169921875;3983860000;0.7188932819221364
2024-11-19;5916.97998046875;5923.509765625;5855.2900390625;5870.0498046875;4036940000;1.1650955991485397
2024-11-20;5917.10986328125;5920.669921875;5860.56005859375;5914.33984375;3772620000;1.0256675587362456
2024-11-21;5948.7099609375;5963.31982421875;5887.259765625;5940.580078125;4230120000;1.2919433084616974
2024-11-22;5969.33984375;5972.89990234375;5944.35986328125;5944.35986328125;4141420000;0.4801196380924703
2024-11-25;5987.3701171875;6020.75;5963.91015625;5992.27978515625;5633150000;0.9530633805815055
2024-11-26;6021.6298828125;6025.419921875;5992.27001953125;6000.02978515625;3835170000;0.5532110908837712
2024-11-27;5998.740234375;6020.16015625;5984.8701171875;6014.10986328125;3363340000;0.5896542175769727
2024-11-29;6032.3798828125;6044.169921875;6003.97998046875;6003.97998046875;2444420000;0.6693883313566985
2024-12-02;6047.14990234375;6053.580078125;6035.330078125;6040.10986328125;4412470000;0.3023861125035557
2024-12-03;6049.8798828125;6052.06982421875;6033.39013671875;6042.97021484375;4095000000;0.3096051652008521
2024-12-04;6086.490234375;6089.83984375;6061.06005859375;6069.39013671875;4003390000;0.47483088565413933
2024-12-05;6075.10986328125;6094.5498046875;6072.89990234375;6089.02978515625;4212020000;0.3565002336922189
2024-12-06;6090.27001953125;6099.97021484375;6079.97998046875;6081.3798828125;3924830000;0.3287878321839278
2024-12-09;6052.85009765625;6088.509765625;6048.6298828125;6083.009765625;4556460000;0.6593209302791164
2024-12-10;6034.91015625;6065.39990234375;6029.89013671875;6057.58984375;4048410000;0.5888957314290827
2024-12-11;6084.18994140625;6092.58984375;6060.14990234375;6060.14990234375;4269950000;0.535299323102617
2024-12-12;6051.25;6079.68017578125;6051.25;6074.2900390625;3678010000;0.46982318994009503
2024-12-13;6051.08984375;6078.580078125;6035.77001953125;6068.169921875;3584960000;0.7092725278667048
2024-12-16;6074.080078125;6085.18994140625;6059.14013671875;6063.7900390625;4391100000;0.42992576668819116
2024-12-17;6050.60986328125;6057.68017578125;6035.18994140625;6052.5498046875;4544500000;0.37265164134601514
